fy,WorkSheetName,SubCode,subcode_label,source_file
2019-20,TAC03 SoFP,BAL1300,Other liabilities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1310,Liabilities in disposal groups,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1320,Total current liabilities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1330,Total assets less current liabilities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1340,Trade and other payables,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1350,Borrowings,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1360,Other financial liabilities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1370,Provisions,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1380,Other liabilities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1390,Total non-current liabilities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1400,Total assets employed,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1410,Public dividend capital,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1420,Revaluation reserve,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1430,Financial assets at FV through OCI reserve,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1440,Other reserves,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1450,Merger reserve,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1460,Income and expenditure reserve,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1470,Non-controlling Interest,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1490,Charitable fund reserves,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC03 SoFP,BAL1500,Total taxpayers' and others' equity,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0010,Taxpayers' and others' equity 1 April 2018 - as previously stated,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0020,Prior period adjustment,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0030,Taxpayers' and others' equity at 1 April 2018 - restated,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0031,Impact of implementing IFRS 15 on opening reserves,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0032,Impact of implementing IFRS 9 on opening reserves,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0040,At start of period for new FTs,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0050,Surplus/(deficit) for the year,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0055,Gain / (loss) on transfers by absorption (modified),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0060,Transfers by absorption: transfers between reserves,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0065,Transfers by absorption: transfers between reserves (charitable fund),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0070,Transfer from reval reserve to I&E reserve for impairments arising from consumption of economic benefits,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0080,Transfers between reserves,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0090,Net impairments,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0100,"Revaluations - property, plant and equipment",1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0110,Revaluations - intangible assets,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0115,Revaluations and impairments - charitable fund assets,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0120,Transfer to retained earnings on disposal of assets,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0130,Share of comprehensive income from associates and joint ventures,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0140,Fair value gains/(losses) on financial assets mandated at FV through OCI,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0145,Fair value gains/(losses) on equity instruments designated at FV through OCI,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0150,Recycling gains/(losses) on disposal of financial assets mandated at FV through OCI,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0160,Foreign exchange gains/(losses) recognised directly in OCI,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0170,Other recognised gains and losses,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0180,Remeasurements of defined net benefit pension scheme liability / asset,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0200,Public dividend capital received,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0210,Public dividend capital repaid,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0220,Public dividend capital written off,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0230,Other movements in PDC in year,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0240,Reserves eliminated on dissolution (unlocked on request),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0250,Other reserve movements,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0255,Other reserve movements - charitable fund consolidation adjustment,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0260,Transfer to FT upon authorisation,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC04 SOCIE,SCE0270,Taxpayers' and others' equity at 31 March 2019,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,CFS0010,Movements in charitable fund working capital,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,CFS0020,NHS charitable funds: other movements in operating cash flows,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,CFS0030,NHS charitable funds: net cash flows from investing activities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,CFS0040,NHS charitable funds: net cash flows from financing activities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,CFS1000,Movement in loans from the Department of Health and Social Care,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,CFS1010,Movement in other loans,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0100,Operating surplus/(deficit),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0100A,Operating surplus/(deficit) from continuing operations,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0100B,Operating surplus/(deficit) of discontinued operations,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0105,Depreciation and amortisation,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0110,Impairments and reversals,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0115,Unrealised gains/(losses) on foreign exchange,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0120,Income recognised in respect of capital donations (cash and non-cash),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0125,Amortisation of PFI deferred income / credit,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0130,On SoFP pension liability - employer contributions paid less net charge to the SOCI,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0135,(Increase)/decrease in receivables,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0140A,(Increase)/decrease in other assets,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0150,(Increase)/decrease in inventories,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0155,Increase/(decrease) in trade and other payables,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0160,Increase/(decrease) in other liabilities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0165,Increase/(decrease) in provisions,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0170,Corporation tax (paid) / received,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0175A,Movements in operating cash flows of discontinued operations,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0175B,Other movements in operating cash flows,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0180,Net cash generated from / (used in) operations,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0185,Interest received,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0190,Purchase of financial assets / investments,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0195,Proceeds from sales / settlements of financial assets / investments,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0200,Purchase of intangible assets,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0205,Proceeds from sales of intangible assets,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0210,"Purchase of property, plant and equipment and investment property",1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0215,"Proceeds from sales of property, plant and equipment and investment property",1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0220,Receipt of cash donations to purchase capital assets,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0226,Prepayment of PFI capital contributions (cash payments),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0230,Cash movement from acquisitions of business units and subsidiaries (not absorption transfers),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0235,Cash movement from disposals of business units and subsidiaries (not absorption transfers),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0235A,Cash flows attributable to investing activities of discontinued operations,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0240,Net cash generated from/(used in) investing activities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0245,Public dividend capital received,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0250,Public dividend capital repaid,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0275,Other capital receipts,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0280,Capital element of finance lease rental payments,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0285,"Capital element of PFI, LIFT and other service concession payments",1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0290A,Interest on DHSC loans,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0290B,Other interest (e.g. overdrafts),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0290C,Interest on other loans,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0295,Interest element of finance lease,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0300,"Interest element of PFI, LIFT and other service concession obligations",1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0305,PDC dividend (paid)/refunded,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0310,Cash flows from (used in) other financing activities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0310A,Cash flows attributable to financing activities of discontinued operations,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0315,Net cash generated from/(used in) financing activities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0320,Increase/(decrease) in cash and cash equivalents,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0325,Cash and cash equivalents at 1 April - restated,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0325A,Cash and cash equivalents at 1 April - brought forward,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0325B,Prior period adjustments,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0340,Cash transferred to NHS foundation trust upon authorisation as FT,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0345,Cash and cash equivalents at start of period for new FTs,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0350,Cash and cash equivalents transferred by absorption,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC05 SoCF,SCF0355,Cash and cash equivalents at 31 March,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0100A,Elective income,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0120A,Non-elective income,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0140A,First outpatient income,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0160A,Follow up outpatient income,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0180A,A&E income,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0200,High cost drugs income from commissioners,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0210,Other NHS clinical income,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0220,Cost and volume contract income,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0230,Block contract income,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0240,Clinical partnerships providing mandatory services (including S75 agreements),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0250,Clinical income for the secondary commissioning of mandatory services,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0260,Other clinical income from mandatory services,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0270,A&E income,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0280,PTS income,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0290,Other income,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0300,Income from CCGs and NHS England,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0310,Income from other sources (e.g. local authorities),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0330,Private patient income,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0332,AfC pay award central funding (comparative only),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0333,Additional pension contribution central funding,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0340,Other clinical income,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC0350,Total income from patient care activities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC1100,NHS England,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC1110,Clinical commissioning groups,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC1120,NHS Foundation Trusts,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC1130,NHS Trusts,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC1140,Local authorities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC1150,Department of Health and Social Care,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC1160,NHS other (including Public Health England),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC1170,Non NHS: private patients,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC1180,"Non NHS: overseas patients (non-reciprocal, chargeable to patient)",1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC1190,Injury cost recovery scheme,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC1200,Non NHS: other,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,INC1220,Total income from patient care activities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,OPP0001,Related to continuing operations,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,OPP0002,Related to discontinued operations,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,OPP0010,Income recognised this year,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,OPP0020,Cash payments received in-year (relating to invoices raised in current and previous years),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,OPP0030,Amounts added to allowance for impairment of receivables (relating to invoices raised in current and prior years),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC06 Op Inc 1,OPP0040,Amounts written off in-year (relating to invoices raised in current and previous years),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC07 Op Inc 2,INC1230A,Research and development (IFRS 15),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC07 Op Inc 2,INC1230B,Research and development (non-IFRS 15 e.g. IAS 20),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC07 Op Inc 2,INC1240A,Education and training (excluding notional apprenticeship levy income),1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC07 Op Inc 2,INC1240B,Education and training - notional income from apprenticeship fund,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC07 Op Inc 2,INC1250A,Donations/grants of physical assets (non-cash) - received from NHS charities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC07 Op Inc 2,INC1250B,Donations/grants of physical assets (non-cash) - received from other bodies,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC07 Op Inc 2,INC1260A,Cash donations for the purchase of capital assets - received from NHS charities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC07 Op Inc 2,INC1260B,Cash donations for the purchase of capital assets - received from other bodies,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC07 Op Inc 2,INC1260C,Cash grants for the purchase of capital assets - received from other bodies,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC07 Op Inc 2,INC1270A,Charitable and other contributions to expenditure - received from NHS charities,1920-nhs-provider-tac-ilustrative-file (1).xlsx
2019-20,TAC07 Op Inc 2,INC1270B,Charitable and other contributions to expenditure - received from other bodies,1920-nhs-provider-tac-ilustrative-file (1).xlsx
