SubCode,financial_years,label,primary_worksheet,num_years
SOC0210,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",(ii) owners of the parent,TAC02 SoCI,5
SOC0220,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",TOTAL,TAC02 SoCI,5
SFP0710,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total non-current borrowings,TAC21 Borrowings,5
SOC0100,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Impairments,TAC02 SoCI,5
SOC0110,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Revaluations,TAC02 SoCI,5
SOC0120,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Share of comprehensive income from associates and joint ventures,TAC02 SoCI,5
SOC0125,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Fair value gains/(losses) on equity instruments designated at FV through OCI,TAC02 SoCI,5
SOC0130,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other recognised gains and losses,TAC02 SoCI,5
SOC0140,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Remeasurements of net defined benefit pension scheme liability / asset,TAC02 SoCI,5
SOC0145,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Gain/(loss) on transfers by absorption (modified),TAC02 SoCI,5
BAL1460,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Income and expenditure reserve,TAC03 SoFP,5
BAL1470,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Non-controlling Interest,TAC03 SoFP,5
BAL1490,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Charitable fund reserves,TAC03 SoFP,5
BAL1500,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total taxpayers' and others' equity,TAC03 SoFP,5
BOR0010,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",NHS charitable funds: bank overdraft,TAC21 Borrowings,5
BOR0020,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",NHS charitable funds: other current borrowings,TAC21 Borrowings,5
BOR0030,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",NHS charitable funds: other non-current borrowings,TAC21 Borrowings,5
BAL1380,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other liabilities,TAC03 SoFP,5
BAL1390,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total non-current liabilities,TAC03 SoFP,5
BAL1400,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total assets employed,TAC03 SoFP,5
BAL1410,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Public dividend capital,TAC03 SoFP,5
BAL1420,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Revaluation reserve,TAC03 SoFP,5
BAL1430,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Financial assets at FV through OCI reserve,TAC03 SoFP,5
BAL1440,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other reserves,TAC03 SoFP,5
BAL1450,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Merger reserve,TAC03 SoFP,5
BAL1300,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other liabilities,TAC03 SoFP,5
BAL1310,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Liabilities in disposal groups,TAC03 SoFP,5
BAL1320,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total current liabilities,TAC03 SoFP,5
BAL1330,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total assets less current liabilities,TAC03 SoFP,5
BAL1340,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Trade and other payables,TAC03 SoFP,5
BAL1350,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Borrowings,TAC03 SoFP,5
BAL1360,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other financial liabilities,TAC03 SoFP,5
BAL1370,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Provisions,TAC03 SoFP,5
SFP0640,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total current borrowings,TAC21 Borrowings,5
SFP0650,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24","Obligations under PFI, LIFT or other service concession contracts (excl lifecycle)",TAC21 Borrowings,5
SFP0660,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Obligations under finance leases,TAC21 Borrowings,5
SFP0670,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Capital loans,TAC21 Borrowings,5
SFP0670C,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Drawdown in committed facility (non-DHSC),TAC21 Borrowings,5
SFP0680,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Revenue support / working capital loans,TAC21 Borrowings,5
SFP0700,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other loans (non-DHSC),TAC21 Borrowings,5
SFP0570A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Bank overdrafts - Government Banking Service,TAC21 Borrowings,5
SFP0570B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Bank overdrafts - Commercial,TAC21 Borrowings,5
SFP0580,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24","Obligations under PFI, LIFT or other service concession contracts (excl lifecycle)",TAC21 Borrowings,5
SFP0590,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Obligations under finance leases,TAC21 Borrowings,5
SFP0600,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Capital loans,TAC21 Borrowings,5
SFP0610,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Revenue support / working capital loans,TAC21 Borrowings,5
SFP0630,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other loans (non-DHSC),TAC21 Borrowings,5
SCI1280,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",- Main finance costs,TAC11 Finance & other,5
SCI1290,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",- Contingent finance costs,TAC11 Finance & other,5
SCI1320,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Unwinding of discount on provisions,TAC11 Finance & other,5
SCI1330,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other finance costs,TAC11 Finance & other,5
SCI1340,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total finance expenditure,TAC11 Finance & other,5
SCI1205,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total other gains/(losses),TAC11 Finance & other,5
SCI1210,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",- Capital loans,TAC11 Finance & other,5
SCI1220,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",- Revenue support / working capital loans,TAC11 Finance & other,5
SCI1240,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Interest on other loans,TAC11 Finance & other,5
SCI1250,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Interest on bank overdrafts,TAC11 Finance & other,5
SCI1260,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Interest on finance lease obligations,TAC11 Finance & other,5
SCI1270,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Interest on the late payment of commercial debt,TAC11 Finance & other,5
CCE0120,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other current investments,TAC19 CCE,5
CCE0130,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total cash and cash equivalents as in SoFP,TAC19 CCE,5
CCE0140,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Bank overdrafts (GBS and commercial banks),TAC19 CCE,5
CCE0150,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Drawdown in committed facility (non-DHSC),TAC19 CCE,5
CCE0160,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total cash and cash equivalents as in SoCF,TAC19 CCE,5
CFS0010,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Movements in charitable fund working capital,TAC05 SoCF,5
CFS0020,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",NHS charitable funds: other movements in operating cash flows,TAC05 SoCF,5
CFS0030,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",NHS charitable funds: net cash flows from investing activities,TAC05 SoCF,5
CCE0040,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",At start of period for new FTs,TAC19 CCE,5
CCE0050,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfers by absorption,TAC19 CCE,5
CCE0060,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Net change in year,TAC19 CCE,5
CCE0070,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfers to FT upon authorisation,TAC19 CCE,5
CCE0080,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",At 31 March,TAC19 CCE,5
CCE0090,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Cash at commercial banks and in hand,TAC19 CCE,5
CCE0100,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Cash with the Government Banking Service,TAC19 CCE,5
CCE0110,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Deposits with the National Loan Fund,TAC19 CCE,5
CAP2647,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",- Addition to lifecycle prepayment - revenue,TAC24 On-SoFP PFI,5
CAP2660,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Unitary payment payable to service concession operator (total of all schemes),TAC24 On-SoFP PFI,5
CAP2680,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Amounts charged to revenue (freetext required),TAC24 On-SoFP PFI,5
CAP2690,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Amounts capitalised (freetext required),TAC24 On-SoFP PFI,5
CAP2700,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total amount paid to service concession operator,TAC24 On-SoFP PFI,5
CCE0010,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",At 1 April,TAC19 CCE,5
CCE0020,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Prior period adjustments,TAC19 CCE,5
CCE0030,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",At 1 April (restated),TAC19 CCE,5
CAP2530,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Number of schemes that the trust has (accounted for on-SoFP) as at 31 March 2020,TAC24 On-SoFP PFI,5
CAP2590,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",- Service element (and other charges to operating expenditure excluding revenue lifecycle),TAC24 On-SoFP PFI,5
CAP2600,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",- Repayment of balance sheet obligation,TAC24 On-SoFP PFI,5
CAP2610,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",- Interest charge,TAC24 On-SoFP PFI,5
CAP2620,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",- Capital lifecycle maintenance,TAC24 On-SoFP PFI,5
CAP2630,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",- Revenue lifecycle maintenance,TAC24 On-SoFP PFI,5
CAP2640,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",- Contingent rent,TAC24 On-SoFP PFI,5
CAP2646,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",- Addition to lifecycle prepayment - capital,TAC24 On-SoFP PFI,5
EXP0260,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Impairments net of (reversals),TAC08 Op Exp,5
EXP0270A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Movement in credit loss allowance: contract receivables/assets,TAC08 Op Exp,5
EXP0270B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Movement in credit loss allowance: all other receivables & investments,TAC08 Op Exp,5
EXP0280A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Audit services - statutory audit,TAC08 Op Exp,5
EXP0280B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other auditor remuneration (payable to external auditor only),TAC08 Op Exp,5
EXP0290A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Clinical negligence - amounts payable to NHS Resolution (premium),TAC08 Op Exp,5
EXP0290B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Clinical negligence - excesses payable and premiums due to alternative insurers,TAC08 Op Exp,5
EXP0190,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Consultancy,TAC08 Op Exp,5
EXP0200,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Establishment,TAC08 Op Exp,5
EXP0210,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Premises - business rates collected by local authorities,TAC08 Op Exp,5
EXP0220,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Premises - other,TAC08 Op Exp,5
EXP0230A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transport (business travel only),TAC08 Op Exp,5
EXP0230B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transport - other (including patient travel),TAC08 Op Exp,5
EXP0240,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Depreciation,TAC08 Op Exp,5
EXP0250,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Amortisation,TAC08 Op Exp,5
EXP0130,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Staff and executive directors costs,TAC08 Op Exp,5
EXP0140,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Non-executive directors,TAC08 Op Exp,5
EXP0150,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Supplies and services – clinical (excluding drugs costs),TAC08 Op Exp,5
EXP0160,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Supplies and services - general,TAC08 Op Exp,5
EXP0170,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Drugs costs (drugs inventory consumed and purchase of non-inventory drugs),TAC08 Op Exp,5
CFS0040,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",NHS charitable funds: net cash flows from financing activities,TAC05 SoCF,5
CFS1000,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Movement in loans from the Department of Health and Social Care,TAC05 SoCF,5
CFS1010,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Movement in other loans,TAC05 SoCF,5
EXP0100,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Purchase of healthcare from NHS and DHSC bodies,TAC08 Op Exp,5
EXP0110,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Purchase of healthcare from non-NHS and non-DHSC bodies,TAC08 Op Exp,5
EXP0120,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Purchase of social care,TAC08 Op Exp,5
EXP0380J,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Car parking and security,TAC08 Op Exp,5
EXP0380K,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Hospitality,TAC08 Op Exp,5
EXP0380L,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other losses and special payments - staff costs,TAC08 Op Exp,5
EXP0380M,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other losses and special payments - non-staff,TAC08 Op Exp,5
EXP0380N,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Grossing up consortium arrangements,TAC08 Op Exp,5
EXP0380O,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other services (e.g. external payroll),TAC08 Op Exp,5
EXP0380Z,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other,TAC08 Op Exp,5
EXP0390,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total operating expenditure,TAC08 Op Exp,5
EXP0380B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Provisions arising / released in year,TAC08 Op Exp,5
EXP0380C,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Change in provisions discount rate,TAC08 Op Exp,5
EXP0380D,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Internal audit - staff costs,TAC08 Op Exp,5
EXP0380E,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Internal audit - non-staff,TAC08 Op Exp,5
EXP0380F,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Legal fees,TAC08 Op Exp,5
EXP0380G,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Insurance,TAC08 Op Exp,5
EXP0380H,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Early retirements - staff costs,TAC08 Op Exp,5
EXP0380I,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Early retirements - non-staff,TAC08 Op Exp,5
EXP0350,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Redundancy costs - staff costs,TAC08 Op Exp,5
EXP0360,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Redundancy costs - non-staff,TAC08 Op Exp,5
EXP0370,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Charges to operating expenditure for on-SoFP IFRIC 12 schemes (e.g. PFI / LIFT) on IFRS basis,TAC08 Op Exp,5
EXP0375,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Charges to operating expenditure for off-SoFP PFI / LIFT schemes,TAC08 Op Exp,5
EXP0380A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Inventories written down (net including drugs),TAC08 Op Exp,5
EXP0300,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Research and development - staff costs,TAC08 Op Exp,5
EXP0310,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Research and development - non-staff,TAC08 Op Exp,5
EXP0320,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Education and training - staff costs,TAC08 Op Exp,5
EXP0330A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Education and training - non-staff,TAC08 Op Exp,5
EXP0330B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Education and training - notional expenditure funded from apprenticeship fund,TAC08 Op Exp,5
FIN0040,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Interest on other investments / financial assets,TAC11 Finance & other,5
FIN0050,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",NHS charitable fund investment income,TAC11 Finance & other,5
FIN0060,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other,TAC11 Finance & other,5
FIN0070,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total finance revenue,TAC11 Finance & other,5
FIN0080,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total interest expense,TAC11 Finance & other,5
FIN0089,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total liability accruing in year under this legislation as a result of late payments,TAC11 Finance & other,5
FIN0090,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Amounts actually paid and included within other interest arising from claims made under this legislation,TAC11 Finance & other,5
FIN0100,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Compensation paid to cover debt recovery costs under this legislation,TAC11 Finance & other,5
FIN0010,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Interest on bank accounts,TAC11 Finance & other,5
FIN0030,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Interest income on finance leases,TAC11 Finance & other,5
FI0020,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Receivables (excluding non financial assets) - with DHSC group bodies,TAC27 Fin Inst,5
FI0030,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Receivables (excluding non financial assets) - with other bodies,TAC27 Fin Inst,5
FI0040,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other investments / financial assets,TAC27 Fin Inst,5
FI0050,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Cash and cash equivalents,TAC27 Fin Inst,5
FI0055,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Consolidated NHS Charitable fund financial assets,TAC27 Fin Inst,5
FI0060,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total as at 31 March 2019,TAC27 Fin Inst,5
SCI1170,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Losses on disposal of investment properties,TAC11 Finance & other,5
SCI1180A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Losses disposal of financial assets held at amortised cost,TAC11 Finance & other,5
SCI1180B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Losses on disposal of other financial assets / investments,TAC11 Finance & other,5
SCI1190,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Losses on disposal of assets held for sale,TAC11 Finance & other,5
SCI1200,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total gains/(losses) on disposal of assets,TAC11 Finance & other,5
SCI1201,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Gains/(losses) on foreign exchange,TAC11 Finance & other,5
SCI1140,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Gains on disposal of assets held for sale,TAC11 Finance & other,5
SCI1160,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Losses on disposal of intangible assets,TAC11 Finance & other,5
SCI1110,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Gains on disposal of intangible assets,TAC11 Finance & other,5
SCI1120,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Gains on disposal of investment properties,TAC11 Finance & other,5
SCI1130A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Gain on disposal of financial assets held at amortised cost,TAC11 Finance & other,5
SCI1130B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Gain on disposal of other financial assets / investments,TAC11 Finance & other,5
SCI0220B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Fair value gains/(losses) on financial assets / investments,TAC11 Finance & other,5
SCI0220C,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Fair value gains/(losses) on financial liabilities,TAC11 Finance & other,5
SCI0220D,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Recycling gains/(losses) on disposal of financial assets mandated as FV through OCI,TAC11 Finance & other,5
SCI0230,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Corporation tax expense,TAC02 SoCI,5
SCI0240,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",SURPLUS/(DEFICIT) FOR THE YEAR,TAC02 SoCI,5
SCI0240A,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",SURPLUS/(DEFICIT) FROM CONTINUING OPERATIONS,TAC02 SoCI,5
SCI0240B,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Surplus/(deficit) from discontinued operations and the gain/(loss) on disposal of discontinued operations,TAC02 SoCI,5
IGR0100,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Reclassifications to/from PPE,TAC15 Investments & groups,5
IGR0110,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfers to/from assets held for sale and assets in disposal groups,TAC15 Investments & groups,5
IGR0120,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Disposals,TAC15 Investments & groups,5
IGR0130,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfer to FT upon authorisation,TAC15 Investments & groups,5
IGR0140,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Carrying value at 31 March,TAC15 Investments & groups,5
IGR0040,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",At start of period for new FTs,TAC15 Investments & groups,5
IGR0050,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Transfers by absorption,TAC15 Investments & groups,5
IGR0060,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Additions,TAC15 Investments & groups,5
IGR0080,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Fair value gains [taken to I&E],TAC15 Investments & groups,5
IGR0090,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Fair value losses (impairment) [taken to I&E],TAC15 Investments & groups,5
FIN0160,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Gain on disposal of discontinued operations,TAC11 Finance & other,5
FIN0170,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",(Loss) on disposal of discontinued operations,TAC11 Finance & other,5
FIN0180,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Corporation tax expense attributable to discontinued operations,TAC11 Finance & other,5
FIN0190,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Total,TAC11 Finance & other,5
IGR0010,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Carrying value at 1 April,TAC15 Investments & groups,5
IGR0020,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Prior period adjustments,TAC15 Investments & groups,5
IGR0030,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Carrying value at 1 April  - restated,TAC15 Investments & groups,5
FIN0110,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Gains / losses on disposal of charitable fund assets,TAC11 Finance & other,5
FIN0120,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Fair value gains/(losses) on charitable fund investments & investment properties,TAC11 Finance & other,5
FIN0130,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Recycling gains/(losses) on disposal of charitable fund financial assets mandated as FV through OCI,TAC11 Finance & other,5
FIN0135,"2019-20, 2020-21, 2021-22, 2022-23, 2023-24",Other gains/(losses),TAC11 Finance & other,5
